league,hfa.before,hfa.adjustment,hfa.now,home.pts,result.likelihood,mean.pts,min.pts,q025.pts,median.pts,q975.pts,max.pts,sd.pts,z.pts
Barclays Premier League,0.16146715843900988,0.2,0.03229343168780198,60,0.8587,52.6607,27,38,53,67,82,7.272528066391195,1.0091813923575466
Barclays Premier League,0.16146715843900988,0.25,0.04036678960975247,60,0.8387,53.1484,30,39,53,67.02499999999964,79,7.299609980717261,0.9386254906904982
Barclays Premier League,0.16146715843900988,0.30000000000000004,0.04844014753170297,60,0.8264,53.6143,26,39.97500000000002,54,68,81,7.276182363917172,0.8776168161571782
Barclays Premier League,0.16146715843900988,0.35000000000000003,0.05651350545365347,60,0.8126,53.9594,27,40,54,68,85,7.290916772720607,0.8285103490141675
Barclays Premier League,0.16146715843900988,0.4,0.06458686337560396,60,0.7913,54.5675,29,40,55,69,81,7.314095525034858,0.7427439225267852
Barclays Premier League,0.16146715843900988,0.45,0.07266022129755445,60,0.7694,54.9819,28,41,55,69,84,7.371336788575398,0.6807584762342417
Barclays Premier League,0.16146715843900988,0.5,0.08073357921950494,60,0.7562,55.429,31,41,55,69,82,7.217559720350895,0.6333165470195472
Barclays Premier League,0.16146715843900988,0.55,0.08880693714145545,60,0.7302,56.1152,29,42,56,71,84,7.342010587839492,0.5291193677157533
Barclays Premier League,0.16146715843900988,0.6000000000000001,0.09688029506340594,60,0.7043,56.502,22,42,57,71,90,7.366628993119732,0.47484405733844504
Barclays Premier League,0.16146715843900988,0.65,0.10495365298535643,60,0.6896,57.0214,29,43,57,71,89,7.263141012106001,0.4100980546894729
Barclays Premier League,0.16146715843900988,0.7000000000000001,0.11302701090730694,60,0.6633,57.3886,30,43,57,72,83,7.355596544132366,0.35502219083551334
Barclays Premier League,0.16146715843900988,0.75,0.12110036882925741,60,0.633,57.9552,33,43,58,72,84,7.293305985026209,0.2803666820229611
Barclays Premier League,0.16146715843900988,0.8,0.12917372675120792,60,0.5994,58.6257,32,44,59,73,86,7.306814522337787,0.18808469762009178
